timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2025-06-14 16:44:00,104628.01,104657.53,104628.0,104642.1,2.69447,1749919499999,281940.24220290,1312,2.21075000,231319.20314990,0
2025-06-14 16:45:00,104642.1,104642.1,104586.66,104586.67,5.33584,1749919559999,558176.90573800,1536,0.54531000,57049.07617740,0
2025-06-14 16:46:00,104586.66,104586.67,104471.88,104545.6,44.76568,1749919619999,4679371.72561470,5171,13.32973000,1393349.77826180,0
2025-06-14 16:47:00,104545.6,104634.0,104545.6,104560.74,9.14118,1749919679999,956145.64886000,3813,3.87206000,404983.44878770,0
2025-06-14 16:48:00,104560.74,104560.74,104501.03,104501.03,5.90734,1749919739999,617476.70977560,1966,0.93289000,97509.27986590,0
2025-06-14 16:49:00,104501.02,104501.03,104461.01,104482.0,12.21878,1749919799999,1276591.88760240,1982,2.88721000,301666.42511640,0
2025-06-14 16:50:00,104482.01,104520.0,104368.83,104519.99,33.2338,1749919859999,3470674.57917690,4415,10.79506000,1127589.21309490,0
2025-06-14 16:51:00,104520.0,104520.0,104400.0,104497.24,152.53026,1749919919999,15934727.36360860,5376,28.99794000,3027880.04639820,0
2025-06-14 16:52:00,104497.23,104497.23,104359.5,104394.57,46.14291,1749919979999,4817219.03044930,3829,15.56398000,1624600.88346990,0
2025-06-14 16:53:00,104394.57,104424.29,104368.24,104388.53,14.03774,1749920039999,1465480.41217460,1794,4.87798000,509206.40877400,0
2025-06-14 16:54:00,104388.52,104472.0,104388.52,104443.33,10.28069,1749920099999,1073777.60116560,2128,3.60526000,376493.63346800,0
2025-06-14 16:55:00,104443.33,104458.99,104398.43,104398.43,19.55134,1749920159999,2041918.53563970,1894,5.91025000,617272.09991310,0
2025-06-14 16:56:00,104398.43,104417.02,104378.9,104400.57,18.26902,1749920219999,1907230.47326960,2417,5.60370000,584981.21487070,0
2025-06-14 16:57:00,104400.56,104445.89,104400.52,104418.0,29.14498,1749920279999,3043316.08578750,1774,16.16510000,1688064.16780510,0
2025-06-14 16:58:00,104418.0,104457.86,104417.96,104457.86,3.12646,1749920339999,326482.83293250,981,2.68636000,280521.15066110,0
2025-06-14 16:59:00,104457.85,104457.85,104440.42,104457.85,5.61669,1749920399999,586655.76214030,882,3.13107000,327028.40958830,0
2025-06-14 17:00:00,104457.84,104464.88,104433.54,104442.79,18.01561,1749920459999,1881634.28246670,2237,15.81762000,1652047.81111990,0
2025-06-14 17:01:00,104442.8,104442.8,104426.47,104426.54,3.24405,1749920519999,338772.39624420,725,0.97240000,101546.01079610,0
2025-06-14 17:02:00,104426.55,104426.55,104404.9,104420.29,10.80998,1749920579999,1128706.59718530,1659,7.28986000,761143.46215300,0
2025-06-14 17:03:00,104420.3,104533.59,104420.29,104521.63,7.65945,1749920639999,800439.52652460,3548,3.94779000,412492.97000920,0
2025-06-14 17:04:00,104521.62,104558.83,104518.0,104558.82,3.64999,1749920699999,381591.66623690,1170,1.79471000,187622.47913400,0
2025-06-14 17:05:00,104558.83,104592.28,104558.82,104574.37,3.21903,1749920759999,336654.02032900,1029,1.44848000,151482.96638970,0
2025-06-14 17:06:00,104574.37,104591.85,104574.36,104591.84,4.99849,1749920819999,522770.42867260,560,2.70883000,283292.18775010,0
